Metabolite,KEGG,l20t14,l20t16,l20t20,l20t24,l20t28,l20t32,l20t36,l20t40,l20t44,l20t48,l20t52,l20t56,l20t60,l20t64,l20t68,l20t72
Gluconic acid,C00257,-0.000395598,-0.030368803,-0.023988934,0.022202048,0.022182377,-0.011018697,0.018595813,-0.002132371,-0.009123807,0.044412905,0.008878749,-0.00139705,-0.009898274,0.00614632,-0.014328199,-0.028683997
myo-Inositol,C00137,-0.043802148,0.102360619,-0.024810435,0.092933699,0.089620974,0.038847326,0.058332958,0.086870159,0.042783055,0.089586247,0.065684521,0.045809343,0.044783948,-0.048925776,-0.015628599,-0.021909791
4-Hydroxycinnamic acid,C00811,0.002116273,0.004911791,0.053771203,0.071265064,0.045749126,0.06893281,0,0.087688173,0.072460777,0.007305571,0.060977297,-0.027279705,-0.00754179,0.053216498,0.006803678,0.01222093
Indole-3-acetonitrile,C02938,0.10122725,-0.001565283,-0.044827734,0.130296108,0.062302393,0.042174065,-0.007705722,-0.001115082,0.110059447,0.082271489,0.059799751,0.046211906,0.010961117,0.0000499,-0.104101579,0.117089088
Uric acid,C00366,0.120047827,0.060674643,0.059723587,0.030101651,0.01031946,-0.039543849,-0.03182172,-0.0440536,-0.015416592,0.003307777,-0.14659031,-0.098840853,-0.152683449,-0.104656532,-0.124026365,-0.11981249
Putrescine,C00134,-0.200911753,-0.186096007,-0.079887101,-0.045540315,-0.05151923,-0.144294098,-0.156065246,-0.23562108,-0.128860335,-0.003475002,-0.09833949,-0.100755953,-0.115285077,-0.085297935,-0.13049746,-0.072770719
Spermidine,C00315,-0.002864759,0.011904341,0.018313526,0.075132533,-0.056039666,0.028755969,0.00551568,-0.008390426,0.011507268,0.082056074,0.069794061,0.095726496,0.043125657,0.083528191,0.068425084,0.071768
Starch,C00369,21.15294,18.88892,14.67614,13.55072,21.45348,19.43334,23.13274,29.8591,29.59906,31.90596,23.94212,23.97256,25.9468,29.63334,16.31378,18.71998
Maltose,C00208,-0.480794112,-0.318004082,0.033178023,0.035750919,-0.189242029,-0.298952947,-0.405487526,-0.180626338,0.117351364,0.13569875,-0.074046785,-0.142263819,-0.158619445,0.073377404,0.13389831,0.157407752
Xylose,C00181,0.04368439,0.042857688,-0.021940759,0.013424952,-0.045666107,-0.063003497,-0.039065954,-0.065321082,-0.087991,-0.058743227,-0.102633321,-0.037566858,-0.063281664,-0.109737479,-0.127232076,-0.054928546
Fucose,C01019,-0.025635465,0.012731106,0.00134947,-0.003417656,0.007777789,0.011035643,-0.054084902,-0.046262549,-0.042247912,0.001566961,-0.030399589,-0.010908714,-0.068536214,-0.081117726,-0.042236639,-0.036178742
Fructose,C00095,0.269188346694907,0.57936128244059,0.602174810264815,0.558463802250273,0.486346044364982,0.310226946418049,0.251212484745913,0.432107900109819,1.42990776871132,0.53676628957591,0.478707509776399,1.34889143196963,2.10978912781325,0.384548015248506,0.592696479290169,0.492194308127383
Glucose,C00031,1.21550514748667,1.58513827945203,2.07162968293235,2.19181106808454,1.98592042404777,1.57451307589515,1.31282119795426,1.99517166148318,3.84706351710545,2.42155291024688,1.98483753272484,4.90414005043744,6.24100300737105,1.62382726279653,2.0972948586483,2.2237563526745
Trehalose,C01083,-0.174359668,-0.07232161,-0.050877942,-0.04019112,-0.013000551,-0.056473333,0.009222278,-0.037557145,-0.06207938,0.054052389,-0.02284198,0.019360783,0.02353838,-0.044639419,-0.054410341,-0.057451533
Galactinol,C01235,-0.15197863,0.356813819,-0.016400532,0.057278372,-0.192349316,-0.246047159,-0.112739934,-0.233436249,-0.372223502,-0.079225384,-0.179571184,-0.209474506,-0.153377726,-0.152718179,-0.204343299,-0.31477031
Raffinose,C00492,-0.073940694,0.306564796,-0.064796051,-0.158582862,-0.197580601,-0.309738578,-0.20718592,-0.243165116,-0.60284179,-0.287425667,-0.346254904,-0.252744073,-0.26838315,-0.403905826,-0.236334109,-0.055051164
