Metabolite,KEGG,ld20t14,ld20t16,ld20t20,ld20t24,ld20t28,ld20t32,ld20t36,ld20t40,ld20t44,ld20t48,ld20t52,ld20t56,ld20t60,ld20t64,ld20t68,ld20t72
Dehydroascorbic acid dimer,C05422,-0.003217519,-0.002183353,-0.00543849,-0.031991534,0.012148062,-0.050676924,-0.025952661,0.00066486,0.04962378,0.019243638,-0.000220293,0.030090137,0.061225966,0.000512404,0.010694699,0.012507813
Gluconic acid,C00257,-0.014356642,0.003249984,0.052719806,0.054885325,0.004425121,-0.02064144,-0.021396864,-0.007260502,-0.0000822,0.043983295,0.013845111,0.047708185,0.022954408,-0.021543204,0.004120774,0.008606138
myo-Inositol,C00137,-0.000325525,0,0.023567808,0.088481164,0.040170641,-0.004343214,-0.008646537,0.011324622,0.047407262,0.037719796,0.051725501,0.017128924,0.038205775,-0.011303808,0.036150376,0.066821058
4-Hydroxycinnamic acid,C00811,-0.289161881,-0.020266856,0.104624237,0.046827723,0.0142055,0.083180304,0.03528912,0.080698494,0.086568247,0.064809501,0.120622445,0.018218805,-0.16223376,0.072374785,0.045826279,-0.108737928
Indole-3-acetonitrile,C02938,-0.046289584,-0.041086052,-0.046237918,-0.12277537,-0.019435411,-0.087303598,0.070461104,-0.013461334,-0.026313552,0.031652602,0.059209817,0.012155886,-0.015339599,0.089017809,0.170273005,-0.000143167
Uric acid,C00366,0.035940263,-0.004990477,0.063633741,0.070289286,0.005775233,-0.00516266,0.025464561,0.070149726,0.024441723,-0.009808975,-0.063141385,0.070546751,0.000291423,0.044583332,0.014252424,0.031994175
Putrescine,C00134,-0.207494665,-0.194148481,-0.080680111,-0.035849559,-0.215216936,-0.033939582,-0.071181618,-0.116354274,-0.130181317,-0.253237615,-0.160547434,-0.11409197,-0.146207482,-0.084741563,0.073799629,-0.049218586
Spermidine,C00315,-0.022668986,-0.051881298,-0.09688974,-0.006152931,0.01842074,0.006635982,0.04219963,0.002124772,-0.014059308,0.052539093,0.056277043,0.001972291,0.10505718,0.086204798,0.05988337,0.019066204
Starch,C00369,18.44972,17.69722,9.39456,2.82772,6.30506,10.0317,13.76054,17.18206,11.43816,3.9767,6.30166,11.71372,16.7253,20.43542,10.04358,3.31402
Maltose,C00208,-0.79249354,-0.298261733,0.26910413,-0.102326756,-0.872417181,-0.84028159,-0.590650198,-0.220140424,0.433018647,0.057748327,-0.757017442,-0.826852448,-0.680084134,-0.021539172,0.523401915,0.168191121
Xylose,C00181,0.039696598,-0.001929358,0.027498741,0.011574058,-0.051970163,-0.010941134,-0.061655094,0.000297989,-0.015131291,-0.05755439,-0.015442729,-0.004836581,-0.056454613,-0.054085004,-0.061584852,-0.069492872
Fucose,C01019,-0.034152114,-0.066704194,-0.020653084,-0.052359991,-0.058037901,-0.045418065,-0.031176326,-0.020808908,-0.031005981,-0.127032412,0.053294784,0.004752662,-0.04193661,0.001998421,0.003078643,-0.057714537
Fructose,C00095,0.335889323746193,0.442666353531552,0.253485549951873,0.285880806033014,1.06800547069581,0.353435835178944,0.412276277394004,0.489123948676529,0.247882562328248,0.315888063478055,0.572559609763798,0.43747633871334,0.387856941867415,0.594486140408613,0.295808336723824,0.288380534262297
Glucose,C00031,0.926725223986906,1.14591892823143,0.802890942021306,0.962720128601707,2.3132896330468,1.17607457152485,1.24467629283304,1.26282973861066,1.15235831978411,1.0061560659256,1.57643294646683,1.45276169410151,1.25737844829505,1.75599289084469,1.10440038890835,0.958400427586364
Trehalose,C01083,-0.071995764,-0.133679688,-0.017750782,-0.014507973,-0.051743993,-0.140439948,-0.076178371,-0.024782367,0.033028881,0.080397532,-0.011721323,-0.105004379,-0.073244787,-0.036897684,0.032687784,-0.038074173
Galactinol,C01235,0.002240971,-0.019086669,-0.23228446,0.065293185,0.000326707,-0.269146457,-0.105855642,-0.039247801,-0.23356851,-0.285471828,0.095624312,-0.047899742,0.100818696,-0.206370038,-0.037302279,0.037383287
Raffinose,C00492,0.251291968,0.152118594,-0.579505123,-0.266567531,0.060166911,-0.491797513,-0.279182965,-0.203256295,-0.099528876,-0.587740952,-0.580967109,0.012826103,0.152819318,-0.319784621,-0.317883489,-0.12917826
