Metabolite,KEGG,ld20t14,ld20t16,ld20t20,ld20t24,ld20t28,ld20t32,ld20t36,ld20t40,ld20t44,ld20t48,ld20t52,ld20t56,ld20t60,ld20t64,ld20t68,ld20t72
Alanine,C00041,-0.051006717,0.040630831,-0.165334907,-0.126382285,-0.093879249,-0.102625313,0.009509124,0.051823976,-0.137530108,-0.140399882,-0.116827243,-0.06030202,0.027000828,0.081364655,-0.060152519,-0.097987669
Valine,C00183,-0.02540285,-0.003584819,-0.058986482,-0.069279693,-0.129784291,-0.092210342,0.009128963,-0.068002518,-0.105905438,-0.097984115,-0.09518122,-0.021911438,-0.021223867,-0.028313858,-0.032834317,-0.025434676
Leucine,C00123,-0.005917869,0.058287129,-0.049900468,-0.075852944,-0.09833923,-0.003846743,0.056037143,-0.104399437,-0.122298352,-0.098051232,-0.082529379,0.027760302,-0.006288888,-0.048610412,-0.042619929,-0.000897205
Isoleucine,C00407,0.079869595,0.101323996,-0.103993463,-0.041534385,-0.020148049,0.066486491,0.091006192,-0.027546652,-0.193494042,-0.144675909,-0.015374572,0.070539911,0.11816403,0.013794732,-0.060417883,-0.042313962
Glycine,C00037,-0.056154944,-0.185756997,-0.857194547,-0.725951638,-0.051027783,0.069037764,0.04286719,0.098184825,-0.445920859,-0.893788282,-0.201299134,0,-0.064321604,-0.090597436,-0.637518269,-0.874437521
Proline,C00148,-0.233264848,-0.013885777,-0.238690751,-0.375800662,-0.059487986,-0.261934522,-0.156866989,-0.111995186,-0.196771375,-0.260498019,-0.017184305,-0.016141411,0.016707134,-0.111399691,0.050459735,-0.109176479
Threonine,C00188,-0.003239211,0.032453514,-0.09155351,-0.177692677,-0.089599521,-0.023890643,0.074059575,0.012232886,-0.140446785,-0.176684745,-0.051634028,-0.054125085,0.002839785,0.036567665,0.024961837,-0.085567352
beta-alanine,C00099,-0.034020841,-0.04236377,-0.035746966,-0.222683175,-0.312323654,-0.009182952,0.01374238,-0.163325814,-0.114597181,-0.153477718,-0.158598822,0.04589922,0.022688666,-0.045319617,-0.009561979,-0.134003394
Homoserine,C00263,-0.046965181,-0.124308564,-0.40855925,-0.487759991,-0.09990937,-0.002365605,0.013721202,0.005704235,-0.333858217,-0.459718316,-0.068887866,-0.016621244,-0.004301659,0.009027621,-0.444237164,-0.492192946
O-acetyl-serine,C00979,-0.216064663,0.016238844,0.143106364,-0.153106207,-0.067589941,-0.176608559,-0.134412505,0.03145171,0.200284363,0.042115857,-0.087771216,-0.181833354,-0.177915092,0.073435174,0.083164121,-0.030733229
Aspartic acid,C00049,0.011573637,-0.024390297,0.008960279,-0.023436468,0.001990155,0.031586119,0.011681129,-0.031583997,-0.005445778,-0.025432051,-0.002575163,-0.010449899,0.003222412,-0.051226351,-0.019158538,-0.034957355
Serine,C00065,0.141214492,0.05036135,0,-0.158830487,-0.098122346,0.224658536,0.012595908,0.035097202,-0.021794061,-0.238867494,0.131454126,0.351148481,0.006730082,0.023403002,-0.188181543,-0.128972478
Methionine,C00073,-0.041272329,-0.027832916,-0.241715325,-0.274878051,-0.058877507,0.026658219,-0.006539622,0.009498995,-0.20406194,-0.256599136,-0.039958944,0.017693081,0.03316678,-0.029574875,-0.306694915,-0.336376374
Glutamine,C00064,-0.206238287,-0.007160987,-0.060726556,-0.181292312,-0.184517628,-0.011273579,0.007130446,0.040448577,-0.04833074,-0.165439905,-0.038323718,-0.032545664,-0.032951894,0.055649426,-0.049042769,-0.281144929
Phenylalanine,C00079,-0.010356598,0.025094718,-0.323743851,-0.295779427,-0.193483937,-0.26157725,-0.035987051,0.016167163,-0.360618892,-0.482391142,-0.252506807,-0.199535771,-0.084522159,0.046982002,-0.256141833,-0.331073633
Asparagine,C00152,0.024215792,-0.053340394,-0.14161446,-0.303831246,-0.002424485,-0.28448527,-0.011302175,-0.113401842,-0.236772805,-0.261627683,-0.348565903,-0.213269728,-0.002552762,-0.09355885,0.006722779,-0.069736325
Ornithine,C00077,-0.15980077,-0.014059604,-0.158663182,-0.027128327,0.024949075,0.054575401,-0.031214157,-0.037986736,-0.144885845,-0.05807186,0.074315448,-0.003030368,0.022554089,-0.103230905,-0.115880708,-0.05161393
Arginine,C00062,-0.124448932,-0.015878271,-0.282179471,-0.267905242,-0.072955513,-0.021075836,-0.001206426,-0.049800958,-0.096305203,-0.20094805,-0.09693528,-0.026124087,-0.004255202,-0.059881489,-0.106015574,-0.208532445
Lysine,C00047,0.120359643,0.033277051,0.087659507,0.149340152,0.049744748,0.11004328,0.084254239,-0.065445036,0.062361103,0.068732394,0.063445147,0.094368735,0.063883419,-0.014586528,0.032740945,0.112403238
Tyrosine,C00082,0.069719361,0.099415642,-0.141319337,-0.097071053,-0.18710865,-0.06169898,0.052124174,0.008984789,-0.186450279,-0.144977802,-0.157107924,-0.01798403,0.024287708,0.059212309,-0.124820837,-0.069529781
Succinic acid,C00042,0.001524431,0.037380661,0.150590126,0.073363119,0.043055927,0.05382126,0.020765704,0.004737942,0.141170652,0.204776866,0.171600263,0.141019096,0.095022122,0.109960701,0.272712168,0.292682139
Citramalic acid,C02614,0.048885978,0.023775193,0.013565413,-0.013881292,-0.011154004,-0.05191436,-0.00134123,0.023474694,0.011252167,-0.017699364,-0.026945965,-0.026335224,0.047477783,0.00546287,0.024572576,-0.020396824
Malic acid,C00149,0.051942609,0.049047697,-0.0000442,-0.117428595,0.01449869,-0.021608861,-0.015053899,0.02384406,-0.089504548,-0.109794912,-0.070038591,-0.031941116,0.011490038,-0.022855446,-0.017690626,-0.09208165
2-Oxoglutaric acid,C00026,-0.099697509,0.155921771,-0.205052372,-0.273253691,-0.076412037,-0.076042946,-0.018098222,0.01014552,-0.225462325,-0.231486343,-0.030375127,0.018170055,0.042003635,0.053825989,-0.080445785,-0.066058293
Citric acid,C00158,0.086451859,0.046249809,0.022625638,0.149874019,0.15229539,-0.000445402,-0.012023504,0.017480762,0.18171112,0.084582305,0.044283102,0.021735704,0.088533871,-0.05871377,0.073964191,0.192642983
Pyruvic acid,C00022,-0.074725735,0.146046543,-0.111167327,-0.081878824,0.006947893,0.032159275,0.055196292,0.107025119,-0.082937132,-0.149530179,0.024221242,0.077810382,0.0630093,0.121532664,-0.143986432,-0.108597704
Ethanolamine,C00189,0.089961397,0.037215452,0.107218389,0.074153198,-0.012649138,0.016660231,0.000139674,-0.012746635,0.004046396,0.008612542,-0.025685452,0.022989178,-0.016562829,0.034416736,-0.010250962,-0.013601311
Glycerol,C00116,0.110791298,0.012160106,0.125481546,0.02211126,0.007167061,0.097441318,0.070240377,-0.051065533,0.010006425,0.072727296,0,-0.001643172,-0.035993969,-0.052324784,-0.009634361,0.009059086
Benzoic acid,C00180,-0.027242919,-0.009945261,0.014403361,0.025221995,0.019457765,0.031546142,-0.018632668,0.001088795,0.04634795,0.029829728,0.021425303,0.006596056,-0.031487152,-0.002280736,0.021380118,-0.011667395
Nicotinic acid,C00253,0.005262618,0.025138966,0.138371632,0.02859774,0.021207833,0.065022865,0.085448841,0.0873461,0.017487328,0.007023954,0.03739543,0.05765671,0.062244236,0.056314214,0.029982761,-0.092900117
Uracil,C00106,-0.336039629,0.006896902,0.138002323,0.088097211,-0.108011622,0.080524545,0.014198301,0.042633362,0.137750181,0.043618794,0.167008503,0.088804842,-0.176625694,0.119932201,0.045089763,-0.072917846
4-Aminobutyric acid,C00334,-0.111488032,0.004346325,-0.036761373,0.187134838,-0.10601451,-0.093787161,-0.119331006,-0.113756378,-0.072966906,-0.058321006,0.096936045,-0.060019442,-0.119197363,-0.08799433,-0.01193057,0.006315034
Pyroglutamic acid,C01879,0.000492669,-0.031338918,0.082855189,-0.016136727,-0.088310598,-0.019897862,-0.066375799,-0.035949859,0.042966945,-0.0669813,0.028501416,0.009363801,-0.041132449,-0.016295198,-0.025696157,0.01218367
4-hydroxy-benzoic acid,C00156,-0.113116968,0.030041082,0.102811887,0.007887119,-0.126834754,0.052488844,0.037424309,0.07384638,0.062615515,0.016739041,0.128610152,0.05206936,-0.183986982,0.155063531,0.043017458,-0.005567674
