Metabolite,KEGG,l4t14,l4t16,l4t20,l4t24,l4t28,l4t32,l4t36,l4t40,l4t44,l4t48,l4t52,l4t56,l4t60,l4t64,l4t68,l4t72
Citric acid,C00158,-0.047073751,-0.003575112,0.000340299,0.113630033,0.157722931,0.053885121,0.091687167,-0.106745823,-0.174876485,0.030917622,-0.089880059,0.004093065,0.049422601,0.139872138,0.152558325,0.135487967
Pyruvic acid,C00022,0.063937534,-0.044649265,-0.040048099,0.006840102,-0.069417325,-0.083664525,-0.133387251,-0.108026831,-0.062776907,-0.051842135,-0.072017225,0.010367422,-0.038956205,-0.075061341,-0.037258306,0
Ethanolamine,C00189,0.177696757,0.117008583,0.055400616,0.106499646,0.009725302,-0.033779034,-0.101482017,-0.098118522,-0.072348199,-0.108251104,0.032319221,-0.06284737,-0.017120828,-0.10881049,-0.097235967,-0.089157411
Glycerol,C00116,0.006786334,-0.049537164,-0.052161949,-0.106533603,0.02256195,-0.051315677,-0.111259085,-0.162308903,-0.067863814,0.192578152,-0.107893092,-0.073559559,-0.048614284,-0.068084402,-0.022260072,-0.108025725
Benzoic acid,C00180,-0.026391262,-0.011308863,-0.033890839,-0.000175544,0.011690539,-0.023341183,0.003496452,0.018848443,-0.002279602,0.011112076,-0.000673689,0.03041359,0.009935105,0.007085983,0.001102819,-0.029020725
Nicotinic acid,C00253,0.114394018,0.046238456,-0.170677489,-0.000917906,-0.046295145,-0.041246756,-0.0401267,-0.071736835,-0.125926415,-0.123079106,-0.077910265,-0.165617383,-0.080748753,-0.133605083,-0.09105918,-0.06915311
Uracil,C00106,0.065449747,0.05588929,-0.652780767,-0.071315175,-0.030846075,-0.020408683,0.002778636,-0.317145147,-0.326337708,-0.419034817,-0.125324184,-0.331101434,-0.029487833,-0.097602262,0.001919791,-0.20164882
4-Aminobutyric acid,C00334,0.005270544,-0.158258086,-0.022923254,0.025308417,0.063600854,0.089515027,0.066510068,0.101900167,0.151701826,0.068823106,0.131568691,0.162709483,0.098162878,0.071702671,0.133850853,0.107586841
Pyroglutamic acid,C01879,0.028606139,0.026021576,0.004489346,-0.006719704,0.067860704,0.124388659,0.132413255,0.129220748,0.046705243,0.109655083,0.043897606,0.097983044,0.112009059,0.117768768,0.068594132,0.098882388
4-hydroxy-benzoic acid,C00156,0.034863166,0.024136233,-0.605875732,-0.059269216,-0.024758108,-0.015639488,-0.009882692,-0.317196843,-0.185506869,-0.321417386,-0.060659429,-0.305008179,-0.001197665,-0.040566837,0.002281514,-0.076412501
Dehydroascorbic acid dimer,C05422,-0.032321017,-0.066682636,0.042400916,0.022210935,0.034905247,0,-0.022279503,0,0.035894257,0.031328872,0.020134508,0.0000215,-0.009177354,-0.005450009,-0.006695351,0.058944029
Gluconic acid,C00257,-0.000395598,-0.051785644,-0.038211283,0.027676936,0.017559483,0.009397088,-0.008331794,0.046675777,0.065520583,0.020640852,0.055900348,0.028894848,0.0035106,-0.002498918,-0.018561859,0.016561796
myo-Inositol,C00137,-0.043802148,-0.066324598,0.041836001,0.008805492,0.030918985,0.074996322,-0.065445489,0.071142625,-0.094772788,-0.042123803,-0.018380515,-0.054854967,-0.047623632,-0.03405738,-0.049624328,-0.007626905
4-Hydroxycinnamic acid,C00811,0.002116273,0.033852599,-0.929386703,-0.078753861,-0.001495857,-0.035447007,0.011960276,-0.325430172,-0.20080332,-0.362226762,-0.078153758,-0.385748968,0.043081248,-0.060448903,0.033564052,-0.105301789
Indole-3-acetonitrile,C02938,0.10122725,-0.213280497,-0.088342902,-0.174510055,-0.079911262,-0.062954685,-0.063522513,-0.031491391,-0.129279584,-0.115893436,0.110264659,-0.154365986,-0.09835228,-0.093809599,0.002166703,-0.103815117
Uric acid,C00366,0.120047827,-0.043401175,0.066158511,0.01154823,0.011885653,-0.078609443,-0.074580582,-0.00824472,0.036016372,-0.038627018,0.076173118,0.006261575,-0.018713485,-0.058794578,-0.033035324,-0.011370073
Putrescine,C00134,-0.200911753,-0.110334385,0.079213027,-0.029372308,0.06848674,0.154785507,0.32105421,0.429890572,0.442431376,0.38079813,0.476916526,0.436939764,0.371729631,0.433841655,0.345487268,0.405997209
Spermidine,C00315,-0.002864759,-0.03701678,-0.069968408,-0.008931604,-0.12789892,-0.103325068,-0.156941599,-0.01806501,-0.057439079,-0.086875266,0.090665836,0.013014611,-0.002429855,0.038483562,-0.002035029,0.059734323
Starch,C00369,13.55072,11.71856,19.14974,25.47886,25.28396,31.47836,28.6913,30.22264,31.77116,38.3038,43.7793,35.40312,43.60212,40.18466,42.16576,43.8023
Maltose,C00208,-0.480794112,NA,0.644516904,0.327627912,-0.007791908,0.064747501,0.632340357,0.795214459,0.525323907,-0.019079642,-0.071387915,-0.111973759,-0.192216242,-0.322844627,-0.340461009,-0.14403797
Xylose,C00181,0.04368439,0.009129609,-0.006455041,0.000175473,0.043173822,-0.005747108,-0.04458572,0.007926035,0.046542193,0.000871406,0.024272773,-0.020033371,-0.022833276,-0.005075641,-0.050593217,0.027388661
Fucose,C01019,-0.025635465,-0.032683085,-0.00649596,0.023062389,-0.003239675,0.025522054,0.005429049,0.07176763,0.087615404,0.030650538,0.052835598,0.078617296,0.034885872,0.07621019,-0.000179918,0.086338829
Fructose,C00095,0.269188346694907,0.551853708460989,5.32384305937159,7.59771119302461,9.01780292266884,8.92296352561213,9.10386853574997,12.8007407266951,13.5760875438949,14.3907699445716,14.5495753450185,14.6258714454842,8.93927943546757,7.81659196510338,9.24754230591732,8.20776490984327
Glucose,C00031,1.21550514748667,1.60377818878438,7.89861432237036,12.3036133366231,16.880605139254,18.6368217477936,19.5051121934522,27.8525935831577,31.9625516862744,33.7206703779709,42.0468094975574,38.1503533792088,24.9637521083539,27.0946131732402,29.8040187888428,25.8610983274
Trehalose,C01083,-0.174359668,-0.104384072,-0.086790083,-0.157696537,0.017500338,-0.025647629,0.00145891,0.194618249,0.133556409,0.063308687,0.197402797,0.097939573,0.064811562,0.088455109,0.051436746,0.080419391
Galactinol,C01235,-0.15197863,-0.346967781,-0.063673629,-0.027493985,0.017933794,0.232984834,0.210200712,0.476988713,0.502167923,0.489106645,0.648082363,0.639863827,0.67958397,0.702193401,0.645049045,0.735092629
Raffinose,C00492,-0.073940694,-0.335704893,0.258809569,0.02185575,-0.02472835,0.290910025,0.084516852,0.433500618,0.530417736,0.590065427,0.512238949,0.760885612,0.514206091,0.71362147,0.709836794,0.884201778
