Metabolite,KEGG,l4t14,l4t16,l4t20,l4t24,l4t28,l4t32,l4t36,l4t40,l4t44,l4t48,l4t52,l4t56,l4t60,l4t64,l4t68,l4t72
Alanine,C00041,0.002411338,0.155007208,0.355646655,0.418963196,0.423006374,0.382396621,0.315848328,0.391911967,0.433418606,0.360648729,0.418639199,0.445088927,0.377285148,0.427160591,0.403088334,0.444674232
Valine,C00183,-0.02464442,0.009920884,0.102245449,0.141035691,0.175295542,0.115090653,0.048058939,0.156932744,0.176633435,0.091988933,0.128074207,0.128138995,0.089673383,0.105240061,0.063987618,0.094864092
Leucine,C00123,0.084502322,-0.03273219,0.029440089,0.030641196,0.043533691,0.003006191,-0.052409952,0.034960008,0.088856053,0.011623382,0.056391017,0.077154536,0.024711107,0.035289532,0.042754182,0.034491377
Isoleucine,C00407,0.124181185,-0.000133921,0.023818303,0.037351493,0.030348749,-0.009891934,-0.02983642,0.003506764,0.018002779,-0.036705845,-0.009186018,-0.021252871,-0.034664722,-0.052974579,-0.054429843,-0.057868277
Glycine,C00037,-0.171878768,-0.087405837,0.257721156,0.550931408,0.643294145,0.713594966,0.805012298,0.78461093,0.748527034,0.749051207,0.796191216,0.880051239,0.86210489,0.916614211,0.929504042,0.897483494
Proline,C00148,-0.190585255,-0.176872864,-0.101803203,-0.131712335,-0.077072254,0.14069353,-0.030670086,0.31790685,0.404314078,0.517185211,0.54253129,0.665718235,0.680609506,0.691862884,0.701031909,0.713835599
Threonine,C00188,-0.115466506,-0.056109003,-0.141382067,-0.065952694,-0.083461127,-0.037268917,-0.017354001,-0.024343347,-0.041322645,-0.047284748,-0.070271511,0.068039407,0.035920642,0.056011239,0.023027108,0.070251106
beta-alanine,C00099,-0.050454212,0.006611153,0.138325984,0.126777979,0.05813658,0.060230636,0.049522898,0.155241119,0.140688986,0.10744678,0.146796834,0.142278077,0.118262476,0.088947842,0.087882218,0.093773036
Homoserine,C00263,-0.253916675,-0.208476069,-0.241789519,-0.054884052,0.03110029,-0.059580454,0.046816005,0.091752808,0.131743816,0.147450265,0.100405881,0.213271017,0.299749869,0.271113619,0.280533844,0.264782184
O-acetyl-serine,C00979,-0.207803676,-0.217493332,0.150936447,0.066997547,0.078953124,0.111514072,0.20100544,0.222984212,0.179031959,0.129925393,0.194014289,0.261100349,0.22602879,0.147456138,0.163341298,0.183856878
Aspartic acid,C00049,-0.199690288,0.05204409,0.055636261,0.06430155,0.053326418,0.060776617,0.048102566,0.041703023,0.081403934,0.101630776,0.071511761,0.197387882,0.147605922,0.154115973,0.12786693,0.149973242
Serine,C00065,0.076316418,0.206204977,-0.33334964,0.079268624,0.006256222,-0.068852843,0.129237745,0.155282618,0.263550147,0.061342286,0.292256831,0.139401859,0.136838497,-0.069550733,0.050819859,-0.030474612
Methionine,C00073,-0.116711725,-0.083139749,-0.073501225,-0.005985253,0.087219561,0.073454519,0.057630995,0.112440521,0.186267878,0.154660508,0.183701239,0.190756919,0.160788026,0.152220161,0.130024941,0.173228934
Glutamine,C00064,-0.163058882,-0.059719311,-0.426345071,0.080180912,0.202535249,0.111804952,0.180665658,0.075142906,0.200045686,0.145548662,0.410032883,0.272869713,0.523459423,0.520538824,0.504731108,0.440254913
Phenylalanine,C00079,-0.066970564,0.008902578,0.168080962,0.264120182,0.389910352,0.308153907,0.275316845,0.344350585,0.379268885,0.196269666,0.361580433,0.338125192,0.245225104,0.409564206,0.330545216,0.353325688
Asparagine,C00152,-0.032556752,-0.103854264,0.096144083,-0.106579329,-0.040336618,-0.0105373,0.001802955,0.05431678,0.007201657,0.126629169,0.063021112,0.191629141,0.118918046,0.235868926,0.131940099,0.268313895
Ornithine,C00077,-0.178305869,-0.176021168,-0.213535629,-0.127469993,0.000773364,-0.1119652,0.128569262,0.081087651,0.125887632,0.157702468,0.195618767,0.182650913,0.216689169,0.196749486,0.185321513,0.193624245
Arginine,C00062,-0.199897061,-0.138093662,-0.241351446,-0.061529238,0.038403517,0.066315829,0.176598636,0.170079959,0.254052145,0.245527039,0.347319082,0.286650341,0.373556883,0.347888603,0.37242398,0.410771845
Lysine,C00047,0.202588924,0.006923823,-0.000120774,0.000164806,-0.029211497,-0.11564082,-0.093509715,-0.095723563,-0.053736359,-0.08747342,-0.099628044,-0.088153083,-0.105578539,-0.132516624,-0.087649487,-0.148172217
Tyrosine,C00082,0.101342171,-0.0958268,0.122513045,0.176339105,0.15562042,0.07158472,0.248399188,0.210735494,0.183220337,0.07985569,0.250558046,0.171613028,0.10591521,0.168847637,0.072502803,0.15009236
Succinic acid,C00042,0.154112525,0.111285586,-0.037781605,-0.112973917,-0.093037784,-0.123833183,-0.102871156,-0.112574754,-0.155674703,-0.133877512,-0.124870379,-0.114919414,-0.108611209,-0.166762266,-0.115568822,-0.153124152
Citramalic acid,C02614,0.068964619,0.009522635,-0.020698409,-0.019189545,-0.020571937,-0.056937465,-0.045295026,-0.01495739,-0.072176837,-0.035454077,-0.027508456,-0.01140472,-0.035824223,-0.060302931,-0.052651405,-0.018071554
Malic acid,C00149,0.043507956,0.032230942,0,-0.043493538,-0.044858974,-0.067669245,-0.085925968,-0.141258591,-0.134859161,-0.041238844,-0.173710973,-0.090988605,-0.027583023,-0.070805008,-0.036111233,-0.049047535
2-Oxoglutaric acid,C00026,0.057734354,0.006611153,-0.099692166,-0.151073501,-0.150356972,-0.147740996,-0.079714784,-0.123220596,-0.1138599,-0.060058112,-0.037897075,0.035020452,0.00647657,0.027397273,0.013954019,0.045988437
